"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"QuickPoll API","Error Handling","Boundary Conditions","0","0","8","0","0"
"QuickPoll API","Error Handling","Resource Not Found","0","0","2","0","0"
"QuickPoll API","Vote Management","Cast Vote - Error Handling","2","0","6","0","0"
"QuickPoll API","Department Management","Update Department - Authorization","0","0","1","0","0"
"QuickPoll API","Department Management","Create Department - Authorization","0","0","1","0","0"
"QuickPoll API","Security","LDAP Injection Prevention","0","0","1","0","0"
"QuickPoll API","Contract Testing","Schema Validation","1","0","7","0","0"
"QuickPoll API","Security","Authentication Required","0","0","3","0","0"
"QuickPoll API","Security","SQL Injection Prevention","0","0","2","0","0"
"QuickPoll API","Vote Management","Get My Votes","0","0","5","0","0"
"QuickPoll API","Poll Management","Read Poll","1","0","2","0","0"
"QuickPoll API","Vote Management","Cast Vote","0","0","3","0","0"
"QuickPoll API","Error Handling","Input Validation","0","0","10","0","0"
"QuickPoll API","Security","Role-Based Access Control","0","0","1","0","0"
"QuickPoll API","Department Management","Read Department - Authorization","0","0","1","0","0"
"QuickPoll API","Vote Management","Cast Vote - Authentication","0","0","1","0","0"
"QuickPoll API","Department Management","Read Department","0","0","1","0","0"
"QuickPoll API","Authentication","User Login","0","0","2","0","0"
"QuickPoll API","Vote Management","Get My Votes - Authentication","0","0","1","0","0"
"QuickPoll API","Poll Management","Create Poll","0","0","1","0","0"
"QuickPoll API","Poll Management","Delete Poll","0","0","1","0","0"
"QuickPoll API","Security","Command Injection Prevention","0","0","1","0","0"
"QuickPoll API","User Management","User Profile","0","0","3","0","0"
"QuickPoll API","Vote Management","Get My Votes - Edge Cases","0","0","1","0","0"
"QuickPoll API","Security","Token Validation","0","0","2","0","0"
"QuickPoll API","Authentication","User Registration","0","0","1","0","0"
"QuickPoll API","Security","Path Traversal Prevention","0","0","1","0","0"
